mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30514213,C57BL/6N,m,mutant,het (Acnat2),23.8,78.47,45.49,2.81,1.59
30514214,C57BL/6N,m,control,wt (Acnat2),29.4,85.84,53.84,3.06,1.4
30514215,C57BL/6N,m,mutant,het (Acnat2),28.7,63.8,34.05,3.74,2.48
30514216,C57BL/6N,m,control,wt (Acnat2),28.1,91.82,62.17,2.63,0.94
30514222,C57BL/6N,m,mutant,het (Acnat2),24.6,90.19,59.23,2.61,1.08
30514223,C57BL/6N,m,mutant,het (Acnat2),27.7,85.12,53.04,2.52,1.24
30514224,C57BL/6N,m,control,wt (Acnat2),27.5,93.47,64.96,2.44,0.84
30514225,C57BL/6N,m,mutant,het (Acnat2),29.9,91.02,61.24,3.11,1.26
30514237,C57BL/6N,f,control,wt (Acnat2),21.8,90.22,59.19,2.44,1.01
30514238,C57BL/6N,f,mutant,het (Acnat2),22.4,92.16,62.28,2.4,0.94
30514239,C57BL/6N,f,mutant,het (Acnat2),20.4,89.29,57.34,2.01,0.91
30514240,C57BL/6N,f,mutant,het (Acnat2),22.4,84.29,51.2,2.37,1.12
30514242,C57BL/6N,m,mutant,het (Acnat2),29.8,88.25,56.35,2.63,1.12
30514243,C57BL/6N,m,mutant,het (Acnat2),31.4,83.16,50.11,2.6,1.31
30514244,C57BL/6N,m,control,wt (Acnat2),26.5,92.14,62.33,2.5,1.0
30514245,C57BL/6N,m,mutant,het (Acnat2),25.1,92.55,63.4,2.67,1.0
30514246,C57BL/6N,f,mutant,het (Acnat2),22.8,93.9,65.39,2.35,0.81
30514247,C57BL/6N,f,mutant,het (Acnat2),22.3,91.32,60.41,2.23,0.87
30514248,C57BL/6N,f,mutant,het (Acnat2),19.4,85.81,53.07,2.48,1.19
30514249,C57BL/6N,f,control,wt (Acnat2),22,95.61,69.1,2.12,0.68
30514252,C57BL/6N,m,control,wt (Gstm1),25,91.76,61.29,2.37,0.92
30514256,C57BL/6N,f,control,wt (Gstm1),22.6,73.48,41.57,3.51,2.07
30514294,C57BL/6N,m,control,wt (Gstm1),25,69.91,37.95,2.71,1.77
30514486,C57BL/6N,f,control,wt (Acnat2),22.1,92.0,62.12,2.53,1.0
30514487,C57BL/6N,f,mutant,het (Acnat2),22.2,86.86,54.74,2.65,1.21
30514488,C57BL/6N,f,control,wt (Acnat2),21.2,86.39,54.08,2.96,1.36
30514489,C57BL/6N,f,mutant,het (Acnat2),21.3,91.87,62.53,2.88,1.03
30514547,C57BL/6N,m,control,wt (Gstm1),29,85.03,52.68,2.91,1.44
30514584,C57BL/6N,f,control,wt (Gstm1),22.4,90.57,59.51,2.34,0.93
30514585,C57BL/6N,f,control,wt (Gstm1),21.3,95.42,68.46,2.07,0.69
30514591,C57BL/6N,m,control,wt (Gstm1),24.1,90.74,59.92,2.35,1.04
30514597,C57BL/6N,f,control,wt (Gstm1),20.7,87.83,56.06,2.68,1.22
