mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30502528,C57BL/6N,f,control,wt (Lmo1),22.6,90.3,59.93,2.76,1.14
30502540,C57BL/6N,m,control,wt (Lmo1),24.6,90.2,59.19,2.51,1.1
30502568,C57BL/6N,f,control,wt (Lmo1),22.5,93.73,65.39,2.59,0.89
30502570,C57BL/6N,m,control,wt (Lmo1),29.4,85.83,53.62,2.7,1.31
30502712,C57BL/6N,m,control,wt (Tanc2),31.2,81.84,48.72,2.68,1.36
30502741,C57BL/6N,f,control,wt (Tanc2),25.1,85.58,52.8,2.48,1.19
30502955,C57BL/6N,m,mutant,hom (Cisd1),25,78.99,46.22,2.82,1.48
30502956,C57BL/6N,f,control,wt (Cisd1),22.4,87.35,55.45,2.69,1.29
30502959,C57BL/6N,f,mutant,hom (Cisd1),20.5,92.93,64.53,3.07,1.11
30503092,C57BL/6N,m,mutant,hom (Cisd1),24.5,91.32,60.95,2.5,1.0
30503093,C57BL/6N,m,mutant,hom (Cisd1),24.5,81.75,48.01,2.23,1.2
30503094,C57BL/6N,f,mutant,hom (Cisd1),20.9,91.38,60.93,2.32,0.9
30503096,C57BL/6N,f,mutant,hom (Cisd1),21.7,79.49,46.79,2.65,1.47
30503109,C57BL/6N,m,control,wt (Tanc2),26.6,91.6,61.5,2.53,1.03
30503110,C57BL/6N,m,control,wt (Tanc2),28.7,92.28,63.11,2.76,1.09
30503113,C57BL/6N,f,control,wt (Tanc2),24.5,92.49,62.81,2.31,0.88
30504906,C57BL/6N,m,mutant,hom (Cisd1),23.3,93.57,64.5,2.17,0.77
30504907,C57BL/6N,m,mutant,hom (Cisd1),23,81.96,48.51,2.45,1.34
30504908,C57BL/6N,m,mutant,hom (Cisd1),23.2,85.88,53.23,2.35,1.14
30504911,C57BL/6N,m,control,wt (Cisd1),29,81.48,48.25,2.55,1.32
30504915,C57BL/6N,m,control,wt (Cisd1),30,93.93,65.92,2.67,0.93
30504916,C57BL/6N,m,mutant,hom (Cisd1),29.1,93.72,65.61,2.69,0.97
30504924,C57BL/6N,f,control,wt (Foxd2),23,89.23,57.7,2.53,1.11
30504935,C57BL/6N,f,control,wt (Foxd2),26.2,90.93,60.87,3.07,1.25
30504968,C57BL/6N,m,control,wt (Ergic2),22.4,63.71,34.17,4.01,2.65
30504969,C57BL/6N,m,control,wt (Ergic2),25.4,67.37,36.93,4.04,2.56
30504978,C57BL/6N,m,control,wt (Ergic2),27.4,87.61,56.03,2.75,1.25
30504979,C57BL/6N,f,control,wt (Ergic2),23.1,90.83,60.12,2.43,1.01
30504980,C57BL/6N,f,control,wt (Ergic2),20.6,90.05,58.91,2.42,1.01
30504983,C57BL/6N,f,control,wt (Ergic2),21,75.36,43.14,3.37,2.04
30504985,C57BL/6N,f,control,wt (Ergic2),19.6,67.61,37.17,3.65,2.36
30505085,C57BL/6N,f,control,wt (Ergic2),23.1,93.74,65.45,2.49,0.92
30505104,C57BL/6N,f,control,wt (Ergic2),19.5,69.24,37.79,3.26,2.07
30505113,C57BL/6N,m,control,wt (Ergic2),26.9,74.24,41.7,2.95,1.73
30505332,C57BL/6N,m,control,wt (Rtn4),24.9,85.54,53.13,2.65,1.34
30505333,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69
30511243,C57BL/6N,f,control,wt (Slc5a9),21.5,91.51,61.41,2.43,1.01
30511252,C57BL/6N,f,control,wt (Slc5a9),22.6,89.49,58.12,2.54,1.08
30511288,C57BL/6N,m,control,wt (Apoa4),28.8,70.03,38.47,3.33,2.03
30511366,C57BL/6N,f,control,wt (Gatb),21.2,78.42,45.09,2.56,1.43
30511370,C57BL/6N,m,control,wt (Gatb),27.7,80.34,47.9,3.19,1.69
30511379,C57BL/6N,f,control,wt (Gatb),22.9,92.21,63.33,2.52,1.04
30511469,C57BL/6N,m,control,wt (Slc5a9),26.2,93.61,65.18,2.62,0.91
30511475,C57BL/6N,m,control,wt (Slc5a9),26.8,78.84,45.94,2.9,1.62
30511481,C57BL/6N,m,control,wt (Slc5a9),24.7,75.38,42.83,3.1,1.79
30511486,C57BL/6N,f,control,wt (Slc5a9),21.9,86.39,54.15,2.64,1.3
30511733,C57BL/6N,m,control,wt (Cisd1),28.8,74.56,42.81,3.92,2.19
30511735,C57BL/6N,m,mutant,hom (Cisd1),24.5,94.18,66.14,2.29,0.78
30511741,C57BL/6N,f,mutant,hom (Cisd1),22,85.24,52.68,2.81,1.26
30511745,C57BL/6N,m,control,wt (Gatb),26.6,76.29,43.85,3.18,1.86
30511747,C57BL/6N,m,control,wt (Gatb),27.8,49.47,24.84,4.26,3.27
30511750,C57BL/6N,f,control,wt (Gatb),20.8,88.3,56.63,2.54,1.1
30511788,C57BL/6N,m,control,wt (Gatb),27.4,74.68,42.5,3.28,1.95
30511789,C57BL/6N,m,control,wt (Gatb),28.4,78.78,46.21,3.28,1.77
30511791,C57BL/6N,f,control,wt (Gatb),21.4,91.18,61.18,3.01,1.13
