mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30515246,C57BL/6N,f,mutant,het (Cmas),23.1,94.73,67.14,1.96,0.7
30515248,C57BL/6N,f,mutant,het (Cmas),22.3,91.97,61.46,1.95,0.74
30515249,C57BL/6N,f,mutant,het (Cmas),21.8,89.34,58.68,2.74,1.21
30515252,C57BL/6N,f,mutant,het (Cmas),23.2,90.02,59.15,2.73,1.1
30515262,C57BL/6N,f,mutant,het (Cmas),22.4,81.45,48.59,2.96,1.52
30515263,C57BL/6N,f,mutant,het (Cmas),20.3,87.19,55.7,2.84,1.38
30515266,C57BL/6N,m,mutant,het (Cmas),29.2,84.92,52.77,3.05,1.46
30515267,C57BL/6N,m,control,wt (Cmas),26.2,82.73,49.79,2.78,1.42
30515268,C57BL/6N,m,mutant,het (Cmas),28.1,89.63,58.45,2.46,1.09
30515269,C57BL/6N,f,control,wt (Cmas),24,85.52,53.07,2.68,1.23
30515270,C57BL/6N,f,control,wt (Cmas),23.5,79.91,47.46,3.52,1.83
30515271,C57BL/6N,f,control,wt (Cmas),22.4,92.39,63.13,2.77,1.02
30515272,C57BL/6N,m,control,wt (Anpep),25.7,87.26,54.87,2.48,1.15
30515277,C57BL/6N,m,control,wt (Cmas),21.4,90.51,59.89,2.68,1.12
30515283,C57BL/6N,m,control,wt (Cmas),25.8,88.82,57.3,2.73,1.19
30515284,C57BL/6N,m,control,wt (Cmas),24.4,91.03,60.48,2.54,1.04
30515291,C57BL/6N,m,control,wt (Cmas),25.2,84.37,51.63,2.58,1.33
30515294,C57BL/6N,f,mutant,het (Cmas),21.9,91.91,61.75,2.46,0.89
30515295,C57BL/6N,f,mutant,het (Cmas),23.6,92.48,62.71,2.27,0.84
30515297,C57BL/6N,f,mutant,het (Cmas),20.9,76.8,44.1,2.92,1.53
30515298,C57BL/6N,m,mutant,het (Cmas),25.1,88.53,58.16,2.85,1.16
30515299,C57BL/6N,m,mutant,het (Cmas),25.8,88.53,56.84,2.54,1.16
30515300,C57BL/6N,m,mutant,het (Cmas),30.8,88.84,57.38,2.75,1.2
30515302,C57BL/6N,m,mutant,het (Cmas),25.7,78.67,45.65,2.84,1.52
30515303,C57BL/6N,f,mutant,het (Cmas),23.1,94.26,66.61,2.47,0.87
30515330,C57BL/6N,f,control,wt (Cmas),25.2,75.11,42.99,3.44,2.02
30515331,C57BL/6N,f,control,wt (Cmas),21.7,89.64,58.0,2.26,0.97
30515390,C57BL/6N,m,control,wt (Anpep),28,76.51,43.62,2.95,1.7
30515444,C57BL/6N,f,control,wt (Anpep),19.5,89.73,58.57,2.67,1.12
30515554,C57BL/6N,m,control,wt (Uggt2),24,81.04,48.56,3.37,1.7
30515561,C57BL/6N,f,control,wt (Uggt2),21,80.97,48.63,3.38,1.77
30515562,C57BL/6N,f,control,wt (Uggt2),18.4,73.38,40.58,2.61,1.56
30515573,C57BL/6N,f,control,wt (Acsf3),20.9,91.28,60.77,2.55,1.01
30515705,C57BL/6N,f,control,wt (Anpep),19.6,91.87,62.28,2.86,1.11
30515787,C57BL/6N,m,mutant,het (Cmas),29.6,86.12,54.41,3.26,1.58
30515789,C57BL/6N,m,mutant,het (Cmas),27.6,91.67,62.13,3.0,1.16
30515804,C57BL/6N,m,mutant,het (Cmas),29.5,83.59,50.77,2.65,1.39
30516135,C57BL/6N,m,control,wt (Acsf3),30.4,81.82,49.75,3.22,1.65
30516136,C57BL/6N,m,control,wt (Acsf3),29.1,74.31,42.2,3.23,2.0
