mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30513738,C57BL/6N,m,mutant,hom (Cnot6l),25.5,81.74,48.66,2.83,1.4
30513739,C57BL/6N,m,control,wt (Cnot6l),23.8,90.47,60.47,2.76,1.13
30513742,C57BL/6N,f,control,wt (Cnot6l),22.2,85.73,53.75,2.93,1.4
30513745,C57BL/6N,m,mutant,hom (Cnot6l),26,88.63,58.27,2.74,1.29
30513746,C57BL/6N,f,control,wt (Cnot6l),26.5,91.93,62.64,3.08,1.13
30513747,C57BL/6N,f,mutant,hom (Cnot6l),24.1,75.51,43.1,3.37,1.86
30513749,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19
30513756,C57BL/6N,f,control,wt (Cnot6l),19.3,73.9,41.24,2.74,1.66
30513757,C57BL/6N,f,control,wt (Cnot6l),22.7,92.95,63.83,2.58,0.91
30513782,C57BL/6N,m,control,wt (Sytl4),26.7,85.69,53.66,2.71,1.2
30513803,C57BL/6N,m,control,wt (Sytl4),27.5,85.61,53.41,2.68,1.35
30513804,C57BL/6N,m,control,wt (Sytl4),28.2,91.53,61.56,2.73,1.06
30513812,C57BL/6N,m,control,wt (Sytl4),30.3,91.91,62.12,2.75,1.01
30513813,C57BL/6N,m,control,wt (Sytl4),31.9,89.68,58.83,2.91,1.26
30513891,C57BL/6N,f,mutant,hom (Cnot6l),22,86.61,54.18,2.55,1.19
30513892,C57BL/6N,f,mutant,hom (Cnot6l),19.2,85.69,52.63,2.16,1.08
30513893,C57BL/6N,f,mutant,hom (Cnot6l),20.4,80.06,47.1,2.83,1.55
30513923,C57BL/6N,f,control,wt (Cnot6l),21.8,89.77,58.07,2.17,0.94
30513924,C57BL/6N,f,control,wt (Cnot6l),21.3,89.04,57.47,2.54,1.14
30513925,C57BL/6N,f,control,wt (Cnot6l),20.3,89.04,57.11,2.26,0.94
30513927,C57BL/6N,f,mutant,hom (Cnot6l),19.7,71.61,39.98,3.32,2.03
30513935,C57BL/6N,m,mutant,hom (Cnot6l),25.2,84.5,51.84,2.72,1.29
30513936,C57BL/6N,m,control,wt (Cnot6l),26.7,90.3,59.19,2.55,1.0
30513937,C57BL/6N,m,control,wt (Cnot6l),27.5,87.27,55.58,3.07,1.36
30513938,C57BL/6N,m,mutant,hom (Cnot6l),26.6,88.37,56.9,2.96,1.31
30513941,C57BL/6N,f,mutant,hom (Cnot6l),19.9,93.74,65.46,2.66,0.91
30514048,C57BL/6N,m,control,wt (Cnot6l),22.4,91.78,61.73,2.29,0.91
30514049,C57BL/6N,m,mutant,hom (Cnot6l),23.6,79.59,46.21,2.56,1.4
30514050,C57BL/6N,m,mutant,hom (Cnot6l),24.1,87.17,55.6,2.7,1.21
30514053,C57BL/6N,f,control,wt (Cnot6l),20.6,96.44,72.25,2.53,0.73
30514058,C57BL/6N,m,control,wt (Cnot6l),25.3,94.3,66.88,2.91,0.95
30514064,C57BL/6N,f,mutant,hom (Cnot6l),20.9,90.48,59.54,2.5,0.99
30514071,C57BL/6N,m,mutant,hom (Cnot6l),22.9,88.54,56.77,2.42,1.01
30514072,C57BL/6N,f,control,wt (Cnot6l),20.2,87.06,55.03,2.62,1.24
30514073,C57BL/6N,f,mutant,hom (Cnot6l),20.8,88.06,56.61,3.14,1.36
30514075,C57BL/6N,m,mutant,hom (Cnot6l),23.6,88.07,56.34,2.58,1.2
30514078,C57BL/6N,f,mutant,hom (Cnot6l),22.6,78.82,45.97,2.91,1.54
30514079,C57BL/6N,f,mutant,hom (Cnot6l),20.7,82.25,48.9,2.46,1.25
