mouse_id,file,LVIDd_auto,LVIDd_auto_time,LVIDs_auto,LVIDs_auto_time,heart_rate_auto,heart_rate_auto_time,LVIDd_auto_quality_label,LVIDd_auto_quality_flag,LVIDs_auto_quality_label,LVIDs_auto_quality_flag,LV_Vold_auto,LV_Vols_auto,EF_auto,FS_auto,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual,dif_LVIDd,mean_LVIDd,dif_LVIDs,mean_LVIDs,dif_EF,dif_FS
30508700,Crygn_2vX_50.dcm,2.703779069767442,2.7133333333333334,1.2796511627906977,2.595,750.0,2.7133333333333334,0.6751938073513755,high,0.6751938073513755,high,27.109392085887688,3.986265107526533,85.29563077291704,52.67175572519084,C57BL/6N,m,control,wt (Crygn),24.2,79.27,46.14,2.8,1.58,-0.09622093023255784,2.7518895348837207,-0.3003488372093024,1.4298255813953489,6.02563077291704,6.531755725190841
30508700,Crygn_2vX_50.dcm,2.641860465116279,2.793333333333333,1.197093023255814,2.669166666666667,827.5862068965516,2.793333333333333,0.6751938073513755,high,0.6751938073513755,high,25.59981607690604,3.338336186084012,86.95953058391082,54.6875,C57BL/6N,m,control,wt (Crygn),24.2,79.27,46.14,2.8,1.58,-0.15813953488372068,2.7209302325581395,-0.38290697674418617,1.388546511627907,7.689530583910823,8.5475
30508700,Crygn_2vX_50.dcm,2.4973837209302325,3.2883333333333336,1.4241279069767443,3.164166666666667,699.0291262135921,3.2883333333333336,0.53173716276988,high,0.53173716276988,high,22.26331013003091,5.287040300355736,76.25222723181643,42.97520661157024,C57BL/6N,m,control,wt (Crygn),24.2,79.27,46.14,2.8,1.58,-0.3026162790697673,2.6486918604651164,-0.15587209302325578,1.5020639534883722,-3.017772768183562,-3.164793388429757
30508700,Crygn_2vX_50.dcm,2.9101744186046514,3.374166666666667,1.197093023255814,3.250833333333333,750.0,3.374166666666667,0.7080012025288879,high,0.53173716276988,high,32.48974555949857,3.338336186084012,89.72495435530418,58.86524822695037,C57BL/6N,m,control,wt (Crygn),24.2,79.27,46.14,2.8,1.58,0.1101744186046516,2.855087209302326,-0.38290697674418617,1.388546511627907,10.454954355304181,12.72524822695037
30508700,Crygn_2vX_50.dcm,3.0340116279069766,3.454166666666667,0.8462209302325582,3.3283333333333336,699.0291262135921,3.454166666666667,0.7080012025288879,high,0.53173716276988,high,35.97735233087223,1.306686051180713,96.3680316462325,72.10884353741496,C57BL/6N,m,control,wt (Crygn),24.2,79.27,46.14,2.8,1.58,0.23401162790697683,2.9170058139534882,-0.7337790697674419,1.2131104651162792,17.0980316462325,25.968843537414955
30508700,Crygn_2vX_50.dcm,2.311627906976744,3.54,1.3209302325581396,3.415,742.2680412371134,3.54,0.7080012025288879,high,0.7080012025288879,high,18.351891841965745,4.335968848025961,76.3731778425656,42.85714285714285,C57BL/6N,m,control,wt (Crygn),24.2,79.27,46.14,2.8,1.58,-0.4883720930232558,2.555813953488372,-0.2590697674418605,1.4504651162790698,-2.8968221574344,-3.2828571428571536
30508645,Crygn_2vX_82.dcm,2.5386627906976744,3.0158333333333336,0.8875000000000001,2.9258333333333337,566.9291338582677,3.0158333333333336,0.989444815263966,high,0.989444815263966,high,23.19015860883193,1.4884606701520915,93.5814985345326,65.04065040650406,C57BL/6N,f,control,wt (Crygn),19.8,91.2,60.63,2.44,0.99,0.09866279069767447,2.489331395348837,-0.10249999999999992,0.93875,2.3814985345325965,4.410650406504054
30508645,Crygn_2vX_82.dcm,2.352906976744186,3.121666666666667,0.8049418604651163,3.0475000000000003,549.618320610687,3.121666666666667,0.6548800014753091,high,0.989444815263966,high,19.184611020462334,1.1391251067179171,94.06229761185712,65.78947368421052,C57BL/6N,f,control,wt (Crygn),19.8,91.2,60.63,2.44,0.99,-0.08709302325581403,2.396453488372093,-0.1850581395348837,0.8974709302325581,2.862297611857116,5.159473684210518
30508645,Crygn_2vX_82.dcm,2.167151162790698,3.230833333333333,0.9494186046511628,3.1525000000000003,585.3658536585366,3.230833333333333,0.6548800014753091,high,0.6548800014753091,high,15.59984451111101,1.7885530457335646,88.53480209716408,56.19047619047619,C57BL/6N,f,control,wt (Crygn),19.8,91.2,60.63,2.44,0.99,-0.2728488372093021,2.303575581395349,-0.0405813953488372,0.9697093023255814,-2.665197902835928,-4.439523809523813
30508645,Crygn_2vX_82.dcm,2.4148255813953488,3.333333333333333,0.8462209302325582,3.2633333333333336,576.0,3.333333333333333,0.6548800014753091,high,0.6548800014753091,high,20.47268406340976,1.306686051180713,93.61741700729846,64.95726495726495,C57BL/6N,f,control,wt (Crygn),19.8,91.2,60.63,2.44,0.99,-0.025174418604651194,2.4274127906976743,-0.14377906976744181,0.918110465116279,2.4174170072984538,4.327264957264951
