mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30503270,C57BL/6N,f,control,wt (Tnks),22.8,87.4,55.06,2.39,1.13
30503301,C57BL/6N,f,control,wt (Tnks),23.8,92.13,62.73,2.63,1.01
30503302,C57BL/6N,f,control,wt (Tnks),22.5,80.57,47.86,3.11,1.7
30503326,C57BL/6N,m,control,wt (Tnks),27.2,88.5,56.85,2.86,1.21
30503770,C57BL/6N,m,control,wt (Tnks),26,87.12,55.28,3.12,1.37
30503771,C57BL/6N,m,control,wt (Tnks),26.5,87.24,55.36,2.81,1.27
30503774,C57BL/6N,m,control,wt (Tnks),30.1,84.88,52.09,2.54,1.19
30503775,C57BL/6N,m,control,wt (Tnks),29.7,82.01,49.33,3.06,1.55
30503826,C57BL/6N,m,control,wt (Dmd),26.6,78.94,45.75,2.63,1.5
30503827,C57BL/6N,m,mutant,hemi (Dmd),30.3,88.08,56.83,2.68,1.14
30503828,C57BL/6N,m,mutant,hemi (Dmd),32.7,82.52,49.69,2.93,1.48
30503829,C57BL/6N,m,control,wt (Dmd),28,77.99,46.19,3.26,1.83
30503830,C57BL/6N,f,mutant,hom (Dmd),26.3,92.16,62.74,2.87,1.08
30503831,C57BL/6N,f,mutant,hom (Dmd),24.6,92.0,62.16,2.45,0.98
30503833,C57BL/6N,f,mutant,hom (Dmd),24.4,84.69,52.24,2.66,1.39
30508578,C57BL/6N,f,control,wt (Strbp),22.9,90.15,59.2,2.77,1.13
30508644,C57BL/6N,f,control,wt (Crygn),21.2,92.24,63.01,2.77,1.05
30508645,C57BL/6N,f,control,wt (Crygn),19.8,91.2,60.63,2.44,0.99
30508653,C57BL/6N,m,control,wt (Crygn),26.7,87.83,56.17,2.8,1.3
30508700,C57BL/6N,m,control,wt (Crygn),24.2,79.27,46.14,2.8,1.58
30508709,C57BL/6N,m,control,wt (Dmd),27.3,88.57,57.31,2.94,1.31
30508710,C57BL/6N,m,mutant,hemi (Dmd),28.5,92.15,62.82,2.82,1.08
30508711,C57BL/6N,m,mutant,hemi (Dmd),31.1,90.13,59.74,3.03,1.28
30508714,C57BL/6N,f,mutant,hom (Dmd),24.2,94.12,67.12,2.55,0.87
30508721,C57BL/6N,f,mutant,hom (Dmd),26.7,92.26,62.93,2.85,1.06
30508823,C57BL/6N,m,control,wt (Strbp),26.9,82.09,49.24,2.9,1.46
30508827,C57BL/6N,f,control,wt (Strbp),22.6,79.99,47.37,3.1,1.69
30508982,C57BL/6N,f,control,wt (Crygn),21.3,88.68,57.06,2.68,1.15
30508989,C57BL/6N,m,mutant,hemi (Dmd),24.9,95.04,67.9,2.3,0.77
30508991,C57BL/6N,m,mutant,hemi (Dmd),23.9,91.93,62.41,2.88,1.1
30508993,C57BL/6N,m,mutant,hemi (Dmd),26.7,94.01,66.09,2.73,0.93
30508994,C57BL/6N,f,mutant,hom (Dmd),25.2,88.37,56.79,2.88,1.16
30508995,C57BL/6N,f,mutant,hom (Dmd),25,95.88,70.75,2.82,0.92
30509011,C57BL/6N,m,mutant,hemi (Dmd),25.7,94.62,67.38,2.57,0.89
30509014,C57BL/6N,f,mutant,hom (Dmd),25.3,96.11,71.23,2.74,0.8
30509089,C57BL/6N,m,control,wt (Ibtk),26.7,91.32,61.54,2.78,1.14
30509127,C57BL/6N,f,control,wt (Ibtk),22.6,87.74,56.19,3.04,1.29
30509159,C57BL/6N,f,control,wt (Ibtk),18.8,73.6,41.3,3.12,1.89
