mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30522882,C57BL/6N,f,mutant,het (Dnajb14),19.5,69.23,37.78,3.14,2.03
30522883,C57BL/6N,m,mutant,het (Dnajb14),27.9,85.8,53.53,2.76,1.3
30522884,C57BL/6N,m,mutant,het (Dnajb14),29.9,79.55,47.63,3.67,1.97
30522885,C57BL/6N,m,control,wt (Dnajb14),29.7,55.1,28.19,3.83,2.85
30522889,C57BL/6N,f,mutant,het (Dnajb14),20.8,82.93,50.13,2.82,1.48
30522890,C57BL/6N,f,control,wt (Dnajb14),21.7,76.31,43.46,2.86,1.62
30522896,C57BL/6N,f,mutant,het (Dnajb14),21.5,78.66,45.8,3.06,1.66
30522898,C57BL/6N,m,mutant,het (Dnajb14),28.2,92.33,62.75,2.36,0.93
30522899,C57BL/6N,m,control,wt (Dnajb14),31.3,89.59,58.57,2.73,1.18
30522900,C57BL/6N,m,control,wt (Dnajb14),26.3,90.61,60.0,2.72,1.09
30522901,C57BL/6N,f,control,wt (Dnajb14),24.9,75.36,42.57,2.84,1.64
30522914,C57BL/6N,m,control,wt (Dnajb14),27.2,82.43,49.5,2.85,1.44
30522916,C57BL/6N,m,control,wt (Dnajb14),26.7,76.54,44.14,3.41,1.86
30522917,C57BL/6N,m,control,wt (Dnajb14),26.7,92.93,63.88,2.65,0.99
30522918,C57BL/6N,m,mutant,het (Dnajb14),27.6,93.68,66.13,2.74,0.97
30522919,C57BL/6N,m,mutant,het (Dnajb14),27.5,66.31,35.83,3.41,2.22
30522920,C57BL/6N,f,mutant,het (Dnajb14),20.9,94.22,66.62,2.75,0.94
30522921,C57BL/6N,f,control,wt (Dnajb14),21.5,91.45,61.27,2.46,1.01
30522930,C57BL/6N,m,control,wt (Mogat1),26.6,71.25,39.12,3.14,1.91
30522934,C57BL/6N,m,control,wt (Mogat1),25.4,81.02,48.28,2.97,1.58
30522955,C57BL/6N,f,control,wt (Mogat1),22.5,88.97,57.67,2.83,1.25
30523028,C57BL/6N,m,mutant,het (Dnajb14),27.6,91.86,62.32,2.87,1.08
30523029,C57BL/6N,m,control,wt (Dnajb14),26.1,96.05,70.33,2.3,0.72
30523030,C57BL/6N,m,mutant,het (Dnajb14),24.6,70.78,39.11,3.44,2.02
30523031,C57BL/6N,m,mutant,het (Dnajb14),25.1,88.0,55.93,2.46,1.14
30523033,C57BL/6N,m,mutant,het (Dnajb14),25.5,78.99,46.45,3.26,1.7
30523034,C57BL/6N,f,mutant,het (Dnajb14),21.9,89.83,58.93,2.6,1.06
30523035,C57BL/6N,f,mutant,het (Dnajb14),23.4,96.25,70.71,1.97,0.62
30523036,C57BL/6N,f,mutant,het (Dnajb14),22.9,90.44,59.84,2.51,1.02
30523037,C57BL/6N,f,mutant,het (Dnajb14),24,92.01,62.25,2.62,1.03
30523038,C57BL/6N,f,control,wt (Dnajb14),23.9,92.08,62.0,2.17,0.92
30523041,C57BL/6N,f,control,wt (Mogat1),24.8,83.89,51.59,3.34,1.58
30523148,C57BL/6N,f,control,wt (Dnajb14),21.1,61.26,32.2,3.68,2.53
30523149,C57BL/6N,f,mutant,het (Dnajb14),18.9,73.3,40.93,3.04,1.76
30523150,C57BL/6N,f,control,wt (Dnajb14),21.7,85.49,53.18,2.8,1.38
30523151,C57BL/6N,f,mutant,het (Dnajb14),21,81.02,48.12,2.87,1.53
30523156,C57BL/6N,f,control,wt (Mogat1),21.3,92.86,63.82,2.73,0.98
