mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30514919,C57BL/6N,f,control,wt (Slc6a15),23.1,92.04,62.45,2.46,0.94
30514920,C57BL/6N,m,control,wt (Slc6a15),25,91.93,61.74,2.25,0.89
30514932,C57BL/6N,f,control,wt (Slc6a15),21.1,87.63,55.41,2.53,1.1
30514947,C57BL/6N,f,control,wt (Slc6a15),20.2,92.68,63.08,2.31,0.81
30514957,C57BL/6N,m,control,wt (Slc6a15),26.5,82.3,49.84,3.21,1.62
30514958,C57BL/6N,m,control,wt (Slc6a15),27.6,93.0,64.29,2.64,1.02
30514959,C57BL/6N,m,control,wt (Slc6a15),29.3,73.61,41.14,2.82,1.74
30514979,C57BL/6N,f,control,wt (Slc6a15),22.8,86.06,53.57,2.62,1.24
30514980,C57BL/6N,m,mutant,het (Echs1),30.2,91.55,61.55,2.47,1.06
30514981,C57BL/6N,f,mutant,het (Echs1),23,92.24,62.93,3.07,1.08
30514982,C57BL/6N,f,mutant,het (Echs1),20.3,72.65,40.44,3.02,1.84
30514983,C57BL/6N,m,mutant,het (Echs1),25.4,88.05,56.38,2.83,1.3
30514984,C57BL/6N,m,mutant,het (Echs1),31.8,89.25,58.77,3.15,1.35
30514985,C57BL/6N,m,mutant,het (Echs1),29.6,90.17,59.24,2.45,1.08
30514986,C57BL/6N,m,mutant,het (Echs1),28.5,91.55,61.2,2.34,0.84
30514987,C57BL/6N,m,control,wt (Echs1),29.2,90.33,59.37,2.66,1.02
30514988,C57BL/6N,f,mutant,het (Echs1),20.6,84.21,51.24,2.43,1.22
30514989,C57BL/6N,f,control,wt (Echs1),22.2,95.29,69.08,2.65,0.8
30514990,C57BL/6N,m,control,wt (Echs1),29.4,87.28,55.39,2.78,1.31
30514991,C57BL/6N,m,mutant,het (Echs1),27.1,88.05,55.75,2.41,1.04
30514992,C57BL/6N,m,mutant,het (Echs1),29.6,82.17,49.8,3.01,1.58
30514993,C57BL/6N,f,mutant,het (Echs1),22.6,94.48,66.95,2.5,0.8
30514994,C57BL/6N,f,mutant,het (Echs1),24.5,87.34,55.59,2.68,1.31
30514995,C57BL/6N,m,mutant,het (Echs1),27.8,83.11,50.37,2.77,1.45
30514998,C57BL/6N,f,mutant,het (Echs1),25.2,86.25,54.03,2.7,1.29
30514999,C57BL/6N,f,mutant,het (Echs1),26.2,92.17,62.39,2.34,0.92
30515000,C57BL/6N,f,control,wt (Echs1),25.4,88.62,58.58,2.93,1.24
30515001,C57BL/6N,f,control,wt (Echs1),21.8,83.12,49.97,2.33,1.22
30515002,C57BL/6N,f,mutant,het (Echs1),22.3,89.78,58.6,2.56,1.05
30515006,C57BL/6N,m,control,wt (Gins2),25,85.25,52.65,2.73,1.35
30515018,C57BL/6N,m,control,wt (Gins2),25.1,95.14,68.62,2.7,0.83
30515019,C57BL/6N,f,control,wt (Gins2),21.9,94.78,67.32,1.75,0.61
