mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30504911,C57BL/6N,m,control,wt (Cisd1),29,81.48,48.25,2.55,1.32
30504915,C57BL/6N,m,control,wt (Cisd1),30,93.93,65.92,2.67,0.93
30504924,C57BL/6N,f,control,wt (Foxd2),23,89.23,57.7,2.53,1.11
30504935,C57BL/6N,f,control,wt (Foxd2),26.2,90.93,60.87,3.07,1.25
30504968,C57BL/6N,m,control,wt (Ergic2),22.4,63.71,34.17,4.01,2.65
30504969,C57BL/6N,m,control,wt (Ergic2),25.4,67.37,36.93,4.04,2.56
30504970,C57BL/6N,m,mutant,het (Ergic2),29.2,74.99,42.49,3.14,1.8
30504971,C57BL/6N,f,mutant,het (Ergic2),21.9,89.51,58.64,3.07,1.22
30504972,C57BL/6N,f,mutant,het (Ergic2),22.6,87.99,56.26,2.55,1.13
30504973,C57BL/6N,f,mutant,het (Ergic2),26.4,87.64,55.27,2.44,1.11
30504974,C57BL/6N,f,mutant,het (Ergic2),25.7,87.68,55.84,2.74,1.2
30504975,C57BL/6N,m,mutant,het (Ergic2),28.9,68.67,37.48,3.6,2.16
30504976,C57BL/6N,m,mutant,het (Ergic2),28,75.78,43.39,3.17,1.79
30504977,C57BL/6N,m,mutant,het (Ergic2),25.1,86.53,54.24,2.61,1.25
30504978,C57BL/6N,m,control,wt (Ergic2),27.4,87.61,56.03,2.75,1.25
30504979,C57BL/6N,f,control,wt (Ergic2),23.1,90.83,60.12,2.43,1.01
30504980,C57BL/6N,f,control,wt (Ergic2),20.6,90.05,58.91,2.42,1.01
30504981,C57BL/6N,f,mutant,het (Ergic2),22.6,88.72,57.22,2.58,1.13
30504982,C57BL/6N,m,mutant,het (Ergic2),27.6,68.83,38.01,3.83,2.45
30504983,C57BL/6N,f,control,wt (Ergic2),21,75.36,43.14,3.37,2.04
30504985,C57BL/6N,f,control,wt (Ergic2),19.6,67.61,37.17,3.65,2.36
30505071,C57BL/6N,m,mutant,het (Ergic2),30.8,64.21,34.95,4.56,3.08
30505072,C57BL/6N,m,mutant,het (Ergic2),28,80.39,47.39,2.71,1.57
30505073,C57BL/6N,f,mutant,het (Ergic2),24.1,85.83,53.4,2.74,1.34
30505085,C57BL/6N,f,control,wt (Ergic2),23.1,93.74,65.45,2.49,0.92
30505102,C57BL/6N,f,mutant,het (Ergic2),18.3,85.57,53.25,2.82,1.36
30505103,C57BL/6N,f,mutant,het (Ergic2),22.7,66.97,36.18,3.37,2.27
30505104,C57BL/6N,f,control,wt (Ergic2),19.5,69.24,37.79,3.26,2.07
30505113,C57BL/6N,m,control,wt (Ergic2),26.9,74.24,41.7,2.95,1.73
30505114,C57BL/6N,m,mutant,het (Ergic2),28,90.48,60.24,2.99,1.23
30505332,C57BL/6N,m,control,wt (Rtn4),24.9,85.54,53.13,2.65,1.34
30505333,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69
