mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30511864,C57BL/6N,f,control,wt (Gstp1),22.3,88.02,55.89,2.45,1.08
30511866,C57BL/6N,f,control,wt (Gstp1),22.3,92.14,62.24,2.41,0.85
30511887,C57BL/6N,m,control,wt (Gstp1),22.7,49.89,24.89,4.0,2.97
30511905,C57BL/6N,m,control,wt (Gstp1),28.5,91.9,62.81,2.7,1.01
30511908,C57BL/6N,f,control,wt (Gstp1),20.3,93.85,66.23,2.87,0.94
30511918,C57BL/6N,f,control,wt (Gstp1),22.2,80.67,48.2,3.34,1.74
30511943,C57BL/6N,m,control,wt (Gstp1),27.4,79.13,46.46,3.1,1.68
30511950,C57BL/6N,m,control,wt (Kansl1l),24.9,84.92,52.15,2.54,1.36
30511955,C57BL/6N,f,control,wt (Kansl1l),21.9,92.65,63.41,2.56,0.95
30511979,C57BL/6N,m,control,wt (Kansl1l),27.9,88.1,56.82,3.01,1.31
30511980,C57BL/6N,m,control,wt (Kansl1l),23.5,90.88,60.4,2.58,1.08
30511985,C57BL/6N,f,control,wt (Kansl1l),19.1,88.47,57.15,2.6,1.15
30511986,C57BL/6N,f,control,wt (Kansl1l),20.8,75.71,42.79,2.8,1.63
30512002,C57BL/6N,f,control,wt (Kansl1l),20.8,75.34,42.3,2.54,1.55
30512123,C57BL/6N,f,mutant,hom (Fabp2),22.5,85.69,53.4,2.87,1.39
30512128,C57BL/6N,m,control,wt (Fabp2),25,89.35,57.91,2.58,1.06
30512130,C57BL/6N,f,mutant,hom (Fabp2),20.9,83.95,51.83,3.24,1.58
30512131,C57BL/6N,f,mutant,hom (Fabp2),21,91.47,61.87,3.03,1.15
30512133,C57BL/6N,m,mutant,hom (Fabp2),28.3,90.19,60.28,2.81,1.18
30512135,C57BL/6N,m,mutant,hom (Fabp2),26.7,86.74,54.81,3.02,1.36
30512137,C57BL/6N,f,control,wt (Fabp2),20.4,93.35,64.57,2.54,0.92
30512138,C57BL/6N,f,mutant,hom (Fabp2),20.6,92.08,62.55,2.71,1.08
30512139,C57BL/6N,f,control,wt (Fabp2),21,92.61,63.24,2.15,0.87
30512140,C57BL/6N,f,mutant,hom (Fabp2),21.4,82.0,49.47,3.21,1.62
30512219,C57BL/6N,m,control,wt (Kansl1l),30.9,94.5,67.04,2.57,0.89
30516926,C57BL/6N,m,control,wt (Bsph2),27.8,88.96,57.93,2.68,1.26
30516929,C57BL/6N,f,control,wt (Bsph2),24.9,95.26,68.85,2.5,0.85
30516930,C57BL/6N,f,control,wt (Bsph2),25.2,97.29,74.17,2.13,0.59
30516965,C57BL/6N,m,mutant,hom (Fabp2),25,84.76,52.79,3.39,1.65
30516968,C57BL/6N,m,control,wt (Fabp2),29.3,80.56,48.37,3.48,1.83
30516970,C57BL/6N,f,mutant,hom (Fabp2),21.5,88.0,56.17,2.48,1.1
30516994,C57BL/6N,m,control,wt (Cenpv),28.1,93.3,65.05,2.81,1.03
30517166,C57BL/6N,m,mutant,hom (Fabp2),25.8,75.11,42.72,3.34,1.96
30517170,C57BL/6N,f,control,wt (Fabp2),20.1,77.39,44.57,2.54,1.5
30517172,C57BL/6N,f,mutant,hom (Fabp2),21.3,87.06,55.23,2.97,1.35
30517173,C57BL/6N,f,mutant,hom (Fabp2),21.6,59.32,31.24,4.29,2.9
30517176,C57BL/6N,f,mutant,hom (Fabp2),20.4,72.03,40.52,3.46,1.97
30517180,C57BL/6N,f,control,wt (Fabp2),22.9,63.44,34.0,4.14,2.77
30517182,C57BL/6N,f,mutant,hom (Fabp2),22.7,97.2,74.16,2.55,0.68
30517184,C57BL/6N,m,mutant,hom (Fabp2),22.8,76.09,43.11,2.71,1.56
30517186,C57BL/6N,m,mutant,hom (Fabp2),23.6,90.96,60.69,2.71,1.09
30517188,C57BL/6N,m,mutant,hom (Fabp2),24.2,88.81,57.2,2.52,1.11
30517195,C57BL/6N,m,control,wt (Cenpv),23.7,86.24,53.98,2.76,1.26
30517201,C57BL/6N,f,control,wt (Cenpv),22.3,94.08,65.94,2.47,0.83
30517389,C57BL/6N,m,control,wt (Bsph2),23.8,93.53,65.09,2.56,0.94
30517436,C57BL/6N,f,control,wt (Cisd1),24.4,89.12,57.99,2.78,1.15
