mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30511243,C57BL/6N,f,control,wt (Slc5a9),21.5,91.51,61.41,2.43,1.01
30511252,C57BL/6N,f,control,wt (Slc5a9),22.6,89.49,58.12,2.54,1.08
30511288,C57BL/6N,m,control,wt (Apoa4),28.8,70.03,38.47,3.33,2.03
30511362,C57BL/6N,m,mutant,het (Gatb),24.1,75.88,43.55,3.32,1.91
30511363,C57BL/6N,m,mutant,het (Gatb),26.2,71.61,39.89,3.37,2.12
30511364,C57BL/6N,f,mutant,het (Gatb),21.3,92.2,62.29,2.36,0.9
30511365,C57BL/6N,f,mutant,het (Gatb),23.3,85.36,52.92,2.87,1.34
30511366,C57BL/6N,f,control,wt (Gatb),21.2,78.42,45.09,2.56,1.43
30511367,C57BL/6N,f,mutant,het (Gatb),23.8,84.4,52.31,3.12,1.48
30511369,C57BL/6N,m,mutant,het (Gatb),28.9,65.83,35.5,3.29,2.25
30511370,C57BL/6N,m,control,wt (Gatb),27.7,80.34,47.9,3.19,1.69
30511371,C57BL/6N,m,mutant,het (Gatb),30,73.91,41.92,3.53,2.07
30511373,C57BL/6N,f,mutant,het (Gatb),21.7,95.82,70.0,2.47,0.78
30511374,C57BL/6N,m,mutant,het (Gatb),25.4,91.07,60.88,2.47,1.02
30511376,C57BL/6N,m,mutant,het (Gatb),25.1,86.12,53.57,2.62,1.24
30511377,C57BL/6N,m,mutant,het (Gatb),23.3,86.39,54.42,2.86,1.42
30511379,C57BL/6N,f,control,wt (Gatb),22.9,92.21,63.33,2.52,1.04
30511380,C57BL/6N,f,mutant,het (Gatb),22.6,72.84,40.51,3.04,1.81
30511469,C57BL/6N,m,control,wt (Slc5a9),26.2,93.61,65.18,2.62,0.91
30511475,C57BL/6N,m,control,wt (Slc5a9),26.8,78.84,45.94,2.9,1.62
30511481,C57BL/6N,m,control,wt (Slc5a9),24.7,75.38,42.83,3.1,1.79
30511486,C57BL/6N,f,control,wt (Slc5a9),21.9,86.39,54.15,2.64,1.3
30511733,C57BL/6N,m,control,wt (Cisd1),28.8,74.56,42.81,3.92,2.19
30511745,C57BL/6N,m,control,wt (Gatb),26.6,76.29,43.85,3.18,1.86
30511746,C57BL/6N,m,mutant,het (Gatb),27.9,78.4,45.69,3.08,1.7
30511747,C57BL/6N,m,control,wt (Gatb),27.8,49.47,24.84,4.26,3.27
30511748,C57BL/6N,f,mutant,het (Gatb),22.2,90.41,60.27,2.51,1.03
30511749,C57BL/6N,f,mutant,het (Gatb),19.9,90.16,59.31,2.72,1.1
30511750,C57BL/6N,f,control,wt (Gatb),20.8,88.3,56.63,2.54,1.1
30511788,C57BL/6N,m,control,wt (Gatb),27.4,74.68,42.5,3.28,1.95
30511789,C57BL/6N,m,control,wt (Gatb),28.4,78.78,46.21,3.28,1.77
30511790,C57BL/6N,m,mutant,het (Gatb),25.8,88.77,57.14,2.53,1.13
30511791,C57BL/6N,f,control,wt (Gatb),21.4,91.18,61.18,3.01,1.13
30511792,C57BL/6N,f,control,wt (Gatb),23.4,90.75,60.54,3.02,1.19
30511793,C57BL/6N,f,mutant,het (Gatb),20.4,95.52,69.15,2.25,0.7
30511811,C57BL/6N,f,control,wt (Gatb),19.7,86.73,54.67,2.64,1.25
30511812,C57BL/6N,f,control,wt (Gatb),22.7,93.77,65.58,2.62,0.97
30511813,C57BL/6N,f,mutant,het (Gatb),24.2,89.22,58.19,2.94,1.23
