mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30514214,C57BL/6N,m,control,wt (Acnat2),29.4,85.84,53.84,3.06,1.4
30514216,C57BL/6N,m,control,wt (Acnat2),28.1,91.82,62.17,2.63,0.94
30514224,C57BL/6N,m,control,wt (Acnat2),27.5,93.47,64.96,2.44,0.84
30514237,C57BL/6N,f,control,wt (Acnat2),21.8,90.22,59.19,2.44,1.01
30514244,C57BL/6N,m,control,wt (Acnat2),26.5,92.14,62.33,2.5,1.0
30514249,C57BL/6N,f,control,wt (Acnat2),22,95.61,69.1,2.12,0.68
30514250,C57BL/6N,m,mutant,hom (Gstm1),28.8,91.54,61.35,2.53,1.02
30514252,C57BL/6N,m,control,wt (Gstm1),25,91.76,61.29,2.37,0.92
30514253,C57BL/6N,m,mutant,hom (Gstm1),27.4,83.47,50.98,2.91,1.42
30514254,C57BL/6N,f,mutant,hom (Gstm1),21.9,94.81,67.18,2.23,0.73
30514256,C57BL/6N,f,control,wt (Gstm1),22.6,73.48,41.57,3.51,2.07
30514257,C57BL/6N,f,mutant,hom (Gstm1),20.4,86.71,54.47,2.68,1.28
30514279,C57BL/6N,m,mutant,hom (Gstm1),25.8,76.52,44.11,3.34,1.9
30514281,C57BL/6N,m,mutant,hom (Gstm1),26.2,82.07,48.49,2.39,1.21
30514282,C57BL/6N,f,mutant,hom (Gstm1),23.5,81.64,48.64,2.73,1.4
30514294,C57BL/6N,m,control,wt (Gstm1),25,69.91,37.95,2.71,1.77
30514486,C57BL/6N,f,control,wt (Acnat2),22.1,92.0,62.12,2.53,1.0
30514488,C57BL/6N,f,control,wt (Acnat2),21.2,86.39,54.08,2.96,1.36
30514547,C57BL/6N,m,control,wt (Gstm1),29,85.03,52.68,2.91,1.44
30514564,C57BL/6N,m,mutant,hom (Gstm1),25,88.6,57.66,2.88,1.24
30514580,C57BL/6N,m,mutant,hom (Gstm1),23.5,92.17,61.78,1.97,0.8
30514584,C57BL/6N,f,control,wt (Gstm1),22.4,90.57,59.51,2.34,0.93
30514585,C57BL/6N,f,control,wt (Gstm1),21.3,95.42,68.46,2.07,0.69
30514586,C57BL/6N,f,mutant,hom (Gstm1),20.9,96.26,71.0,2.21,0.69
30514590,C57BL/6N,m,mutant,hom (Gstm1),23,93.18,64.1,2.26,0.84
30514591,C57BL/6N,m,control,wt (Gstm1),24.1,90.74,59.92,2.35,1.04
30514593,C57BL/6N,f,mutant,hom (Gstm1),20.8,89.99,58.85,2.45,1.0
30514597,C57BL/6N,f,control,wt (Gstm1),20.7,87.83,56.06,2.68,1.22
30514598,C57BL/6N,f,mutant,hom (Gstm1),21,89.97,58.55,2.32,0.98
