mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30511864,C57BL/6N,f,control,wt (Gstp1),22.3,88.02,55.89,2.45,1.08
30511866,C57BL/6N,f,control,wt (Gstp1),22.3,92.14,62.24,2.41,0.85
30511887,C57BL/6N,m,control,wt (Gstp1),22.7,49.89,24.89,4.0,2.97
30511905,C57BL/6N,m,control,wt (Gstp1),28.5,91.9,62.81,2.7,1.01
30511908,C57BL/6N,f,control,wt (Gstp1),20.3,93.85,66.23,2.87,0.94
30511918,C57BL/6N,f,control,wt (Gstp1),22.2,80.67,48.2,3.34,1.74
30511943,C57BL/6N,m,control,wt (Gstp1),27.4,79.13,46.46,3.1,1.68
30511947,C57BL/6N,m,mutant,hom (Kansl1l),29.2,84.15,51.35,2.75,1.38
30511948,C57BL/6N,f,mutant,hom (Kansl1l),21.4,79.69,46.76,2.74,1.5
30511949,C57BL/6N,f,mutant,hom (Kansl1l),22.8,90.38,59.88,2.91,1.11
30511950,C57BL/6N,m,control,wt (Kansl1l),24.9,84.92,52.15,2.54,1.36
30511951,C57BL/6N,m,mutant,hom (Kansl1l),27.5,90.32,59.36,2.54,1.03
30511954,C57BL/6N,f,mutant,hom (Kansl1l),22,91.88,61.68,2.3,0.95
30511955,C57BL/6N,f,control,wt (Kansl1l),21.9,92.65,63.41,2.56,0.95
30511968,C57BL/6N,f,mutant,hom (Kansl1l),21.1,95.06,67.92,2.06,0.7
30511969,C57BL/6N,f,mutant,hom (Kansl1l),19.6,91.98,61.8,2.17,0.83
30511979,C57BL/6N,m,control,wt (Kansl1l),27.9,88.1,56.82,3.01,1.31
30511980,C57BL/6N,m,control,wt (Kansl1l),23.5,90.88,60.4,2.58,1.08
30511984,C57BL/6N,f,mutant,hom (Kansl1l),21.1,91.4,61.05,2.34,0.94
30511985,C57BL/6N,f,control,wt (Kansl1l),19.1,88.47,57.15,2.6,1.15
30511986,C57BL/6N,f,control,wt (Kansl1l),20.8,75.71,42.79,2.8,1.63
30511995,C57BL/6N,m,mutant,hom (Kansl1l),23.7,90.22,59.33,2.52,1.09
30511996,C57BL/6N,m,mutant,hom (Kansl1l),24.1,85.31,52.98,2.7,1.25
30511997,C57BL/6N,m,mutant,hom (Kansl1l),22.4,89.32,57.3,2.05,0.93
30511998,C57BL/6N,m,mutant,hom (Kansl1l),22.9,93.58,64.62,2.2,0.83
30512000,C57BL/6N,f,mutant,hom (Kansl1l),21.6,82.96,50.01,2.63,1.35
30512002,C57BL/6N,f,control,wt (Kansl1l),20.8,75.34,42.3,2.54,1.55
30512003,C57BL/6N,f,mutant,hom (Kansl1l),18.6,85.39,52.74,2.66,1.23
30512009,C57BL/6N,m,mutant,hom (Kansl1l),24.7,86.38,53.82,2.4,1.15
30512010,C57BL/6N,m,mutant,hom (Kansl1l),25.2,91.81,61.6,2.09,0.84
30512011,C57BL/6N,f,mutant,hom (Kansl1l),21.5,93.58,64.67,2.2,0.75
30512128,C57BL/6N,m,control,wt (Fabp2),25,89.35,57.91,2.58,1.06
30512137,C57BL/6N,f,control,wt (Fabp2),20.4,93.35,64.57,2.54,0.92
30512139,C57BL/6N,f,control,wt (Fabp2),21,92.61,63.24,2.15,0.87
30512219,C57BL/6N,m,control,wt (Kansl1l),30.9,94.5,67.04,2.57,0.89
30512228,C57BL/6N,f,mutant,hom (Kansl1l),20,84.25,51.68,2.58,1.36
