mouse_id,file,LVIDd_auto,LVIDd_auto_time,LVIDs_auto,LVIDs_auto_time,heart_rate_auto,heart_rate_auto_time,LVIDd_auto_quality_label,LVIDd_auto_quality_flag,LVIDs_auto_quality_label,LVIDs_auto_quality_flag,LV_Vold_auto,LV_Vols_auto,EF_auto,FS_auto,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual,dif_LVIDd,mean_LVIDd,dif_LVIDs,mean_LVIDs,dif_EF,dif_FS
30505333,Rtn4_2vX_16.dcm,3.244186046511628,0.0483333333333333,1.5523255813953487,0.0875,433.7349397590362,0.0483333333333333,0.9999986941093912,high,0.9999986941093912,high,42.34615427040708,6.62512032099601,84.35484771842465,52.15053763440861,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69,0.014186046511627914,3.237093023255814,-0.13767441860465124,1.6211627906976744,3.204847718424645,3.5005376344086088
30505333,Rtn4_2vX_16.dcm,3.1046511627906974,0.1866666666666666,1.622093023255814,0.2208333333333333,480.0,0.1866666666666666,0.9999986941093912,high,0.9999986941093912,high,38.05455677408608,7.428022290711041,80.4805970154689,47.75280898876404,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69,-0.12534883720930257,3.1673255813953487,-0.067906976744186,1.656046511627907,-0.6694029845311036,-0.8971910112359609
30505333,Rtn4_2vX_16.dcm,3.5406976744186047,0.3116666666666667,1.8313953488372088,0.3558333333333333,500.0,0.3116666666666667,0.999998161355414,high,0.999998161355414,high,52.30306333159408,10.161568668387396,80.57175235805123,48.27586206896553,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69,0.31069767441860474,3.3853488372093024,0.14139534883720883,1.7606976744186045,-0.5782476419487779,-0.37413793103446835
30505333,Rtn4_2vX_16.dcm,3.1744186046511627,0.4316666666666667,1.6744186046511629,0.4683333333333334,576.0,0.4316666666666667,0.999998161355414,high,0.999998161355414,high,40.16900266084363,8.065374100772726,79.92139817642328,47.25274725274725,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69,-0.055581395348837326,3.2022093023255813,-0.015581395348837068,1.6822093023255813,-1.2286018235767244,-1.3972527472527503
30505333,Rtn4_2vX_16.dcm,3.3488372093023253,0.5358333333333334,1.622093023255814,0.5850000000000001,533.3333333333334,0.5358333333333334,0.9999993124113282,high,0.9999993124113282,high,45.72988810535214,7.428022290711041,83.75674509940102,51.5625,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69,0.11883720930232533,3.2894186046511624,-0.067906976744186,1.656046511627907,2.60674509940101,2.9125000000000014
30505333,Rtn4_2vX_16.dcm,3.4011627906976742,0.6483333333333334,1.7965116279069768,0.6916666666666668,605.0420168067227,0.6483333333333334,0.9999993124113282,high,0.9999993124113282,high,47.47502967182208,9.671630735896873,79.62796273587736,47.179487179487175,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69,0.17116279069767426,3.315581395348837,0.10651162790697688,1.7432558139534884,-1.5220372641226447,-1.4705128205128233
30505333,Rtn4_2vX_16.dcm,3.3139534883720936,0.7475,1.6918604651162792,0.8008333333333334,470.5882352941177,0.7475,0.9999993124113282,high,0.9999985111408622,high,44.58621084161919,8.284586764256343,81.41894857653375,48.94736842105264,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69,0.0839534883720936,3.2719767441860466,0.0018604651162792418,1.6909302325581397,0.26894857653374515,0.2973684210526386
30505333,Rtn4_2vX_16.dcm,3.1918604651162785,0.8750000000000001,1.6046511627906976,0.91,576.0,0.8750000000000001,0.9999985111408622,high,0.9999985111408622,high,40.70740394902472,7.222295505810655,82.25802973126295,49.72677595628415,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69,-0.03813953488372146,3.2109302325581393,-0.08534883720930231,1.6473255813953487,1.1080297312629455,1.076775956284152
30505333,Rtn4_2vX_16.dcm,3.3488372093023253,0.9791666666666669,1.6395348837209305,1.018333333333333,549.6183206106871,0.9791666666666669,0.9999985111408622,high,0.9999985111408622,high,45.72988810535214,7.637103237431243,83.29953657477371,51.04166666666665,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69,0.11883720930232533,3.2894186046511624,-0.050465116279069466,1.6647674418604652,2.1495365747737054,2.3916666666666515
30505333,Rtn4_2vX_16.dcm,3.3488372093023253,1.0883333333333334,1.3953488372093024,1.1316666666666668,533.3333333333334,1.0883333333333334,0.9999956359576734,high,0.9999956359576734,high,45.72988810535214,5.010657589157892,89.04292619825708,58.33333333333333,C57BL/6N,m,control,wt (Rtn4),27.3,81.15,48.65,3.23,1.69,0.11883720930232533,3.2894186046511624,-0.2946511627906976,1.5426744186046513,7.892926198257072,9.68333333333333
