mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30513739,C57BL/6N,m,control,wt (Cnot6l),23.8,90.47,60.47,2.76,1.13
30513742,C57BL/6N,f,control,wt (Cnot6l),22.2,85.73,53.75,2.93,1.4
30513746,C57BL/6N,f,control,wt (Cnot6l),26.5,91.93,62.64,3.08,1.13
30513749,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19
30513756,C57BL/6N,f,control,wt (Cnot6l),19.3,73.9,41.24,2.74,1.66
30513757,C57BL/6N,f,control,wt (Cnot6l),22.7,92.95,63.83,2.58,0.91
30513782,C57BL/6N,m,control,wt (Sytl4),26.7,85.69,53.66,2.71,1.2
30513783,C57BL/6N,m,mutant,hemi (Sytl4),25.3,93.85,65.22,2.17,0.78
30513789,C57BL/6N,f,mutant,hom (Sytl4),21,69.63,37.96,3.14,1.86
30513790,C57BL/6N,f,mutant,hom (Sytl4),22.1,96.63,72.13,2.3,0.62
30513803,C57BL/6N,m,control,wt (Sytl4),27.5,85.61,53.41,2.68,1.35
30513804,C57BL/6N,m,control,wt (Sytl4),28.2,91.53,61.56,2.73,1.06
30513805,C57BL/6N,m,mutant,hemi (Sytl4),29.5,91.72,62.1,2.68,1.1
30513812,C57BL/6N,m,control,wt (Sytl4),30.3,91.91,62.12,2.75,1.01
30513813,C57BL/6N,m,control,wt (Sytl4),31.9,89.68,58.83,2.91,1.26
30513814,C57BL/6N,m,mutant,hemi (Sytl4),31.3,86.4,54.37,3.01,1.34
30513815,C57BL/6N,f,mutant,hom (Sytl4),21.1,89.05,57.89,2.77,1.21
30513817,C57BL/6N,f,mutant,hom (Sytl4),24.5,91.07,60.82,2.54,1.15
30513822,C57BL/6N,m,mutant,hemi (Sytl4),25,89.51,58.33,2.45,1.08
30513825,C57BL/6N,f,mutant,hom (Sytl4),23,89.69,58.23,2.34,1.01
30513826,C57BL/6N,m,mutant,hemi (Sytl4),27,90.68,60.29,2.76,1.09
30513828,C57BL/6N,f,mutant,hom (Sytl4),22.9,77.98,45.4,3.24,1.74
30513833,C57BL/6N,m,mutant,hemi (Sytl4),27.8,81.13,48.49,3.02,1.6
30513834,C57BL/6N,m,mutant,hemi (Sytl4),27.4,80.81,47.69,2.68,1.45
30513837,C57BL/6N,f,mutant,hom (Sytl4),21.7,81.31,48.85,3.38,1.71
30513838,C57BL/6N,f,mutant,hom (Sytl4),20.4,90.12,58.9,2.32,1.0
30513841,C57BL/6N,f,mutant,hom (Sytl4),20.1,86.06,53.3,2.4,1.13
30513849,C57BL/6N,f,mutant,hom (Sytl4),23.6,91.37,61.31,2.58,1.03
30513923,C57BL/6N,f,control,wt (Cnot6l),21.8,89.77,58.07,2.17,0.94
30513924,C57BL/6N,f,control,wt (Cnot6l),21.3,89.04,57.47,2.54,1.14
30513925,C57BL/6N,f,control,wt (Cnot6l),20.3,89.04,57.11,2.26,0.94
30513936,C57BL/6N,m,control,wt (Cnot6l),26.7,90.3,59.19,2.55,1.0
30513937,C57BL/6N,m,control,wt (Cnot6l),27.5,87.27,55.58,3.07,1.36
30514048,C57BL/6N,m,control,wt (Cnot6l),22.4,91.78,61.73,2.29,0.91
30514053,C57BL/6N,f,control,wt (Cnot6l),20.6,96.44,72.25,2.53,0.73
30514058,C57BL/6N,m,control,wt (Cnot6l),25.3,94.3,66.88,2.91,0.95
30514072,C57BL/6N,f,control,wt (Cnot6l),20.2,87.06,55.03,2.62,1.24
