mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30510716,C57BL/6N,f,control,wt (Bsph2),21.3,92.41,62.83,2.47,1.01
30510717,C57BL/6N,m,control,wt (Bsph2),25.5,86.38,54.55,3.24,1.46
30510798,C57BL/6N,m,control,wt (Uggt2),27.2,82.2,49.76,3.37,1.64
30510799,C57BL/6N,m,mutant,hom (Uggt2),28.9,86.62,55.05,3.42,1.55
30510801,C57BL/6N,f,mutant,hom (Uggt2),22.4,84.79,52.59,3.21,1.53
30510803,C57BL/6N,f,mutant,hom (Uggt2),22.6,82.05,49.44,3.06,1.58
30510804,C57BL/6N,f,mutant,hom (Uggt2),21.7,89.25,57.96,2.84,1.19
30510805,C57BL/6N,f,mutant,hom (Uggt2),21.9,91.88,61.89,2.54,0.99
30510911,C57BL/6N,f,control,wt (Klotho),21,67.16,36.4,3.48,2.25
30510919,C57BL/6N,f,control,wt (Klotho),21,87.54,55.59,2.67,1.28
30510922,C57BL/6N,m,control,wt (Klotho),25.6,93.08,64.16,2.57,1.0
30510925,C57BL/6N,f,control,wt (Klotho),21.1,91.25,60.89,2.61,1.03
30511019,C57BL/6N,f,control,wt (Uggt2),23.1,89.38,58.24,2.85,1.19
30511134,C57BL/6N,m,mutant,hom (Uggt2),26.6,88.51,56.88,2.6,1.15
30511135,C57BL/6N,m,mutant,hom (Uggt2),26.2,88.81,57.21,2.54,1.12
30511136,C57BL/6N,f,control,wt (Uggt2),23.1,88.16,56.34,2.62,1.15
30511137,C57BL/6N,f,mutant,hom (Uggt2),22.4,84.34,51.87,2.96,1.44
30511139,C57BL/6N,f,control,wt (Uggt2),20.7,88.31,56.52,2.64,1.13
30511140,C57BL/6N,f,mutant,hom (Uggt2),21,88.84,58.09,2.95,1.24
30515267,C57BL/6N,m,control,wt (Cmas),26.2,82.73,49.79,2.78,1.42
30515269,C57BL/6N,f,control,wt (Cmas),24,85.52,53.07,2.68,1.23
30515270,C57BL/6N,f,control,wt (Cmas),23.5,79.91,47.46,3.52,1.83
30515271,C57BL/6N,f,control,wt (Cmas),22.4,92.39,63.13,2.77,1.02
30515272,C57BL/6N,m,control,wt (Anpep),25.7,87.26,54.87,2.48,1.15
30515277,C57BL/6N,m,control,wt (Cmas),21.4,90.51,59.89,2.68,1.12
30515283,C57BL/6N,m,control,wt (Cmas),25.8,88.82,57.3,2.73,1.19
30515284,C57BL/6N,m,control,wt (Cmas),24.4,91.03,60.48,2.54,1.04
30515291,C57BL/6N,m,control,wt (Cmas),25.2,84.37,51.63,2.58,1.33
30515330,C57BL/6N,f,control,wt (Cmas),25.2,75.11,42.99,3.44,2.02
30515331,C57BL/6N,f,control,wt (Cmas),21.7,89.64,58.0,2.26,0.97
30515390,C57BL/6N,m,control,wt (Anpep),28,76.51,43.62,2.95,1.7
30515444,C57BL/6N,f,control,wt (Anpep),19.5,89.73,58.57,2.67,1.12
30515547,C57BL/6N,f,mutant,hom (Uggt2),21,74.29,42.28,3.43,2.01
30515550,C57BL/6N,f,mutant,hom (Uggt2),22,82.16,50.25,3.86,1.93
30515553,C57BL/6N,m,mutant,hom (Uggt2),23.3,78.8,45.81,2.84,1.55
30515554,C57BL/6N,m,control,wt (Uggt2),24,81.04,48.56,3.37,1.7
30515561,C57BL/6N,f,control,wt (Uggt2),21,80.97,48.63,3.38,1.77
30515562,C57BL/6N,f,control,wt (Uggt2),18.4,73.38,40.58,2.61,1.56
30515573,C57BL/6N,f,control,wt (Acsf3),20.9,91.28,60.77,2.55,1.01
30515705,C57BL/6N,f,control,wt (Anpep),19.6,91.87,62.28,2.86,1.11
30516135,C57BL/6N,m,control,wt (Acsf3),30.4,81.82,49.75,3.22,1.65
30516136,C57BL/6N,m,control,wt (Acsf3),29.1,74.31,42.2,3.23,2.0
30520011,C57BL/6N,f,control,wt (Zfp280d),22.8,89.63,58.18,2.36,1.08
30520034,C57BL/6N,m,control,wt (Zfp280d),29.4,86.88,55.6,2.97,1.46
30520035,C57BL/6N,m,control,wt (Zfp280d),27.9,79.19,45.83,2.53,1.43
30520039,C57BL/6N,m,control,wt (Zfp280d),27.3,92.38,62.88,2.48,0.94
30520048,C57BL/6N,f,control,wt (Zfp280d),21.8,88.4,56.9,2.73,1.24
30520051,C57BL/6N,m,control,wt (Uggt2),23.6,93.34,64.04,2.17,0.81
30520053,C57BL/6N,m,mutant,hom (Uggt2),27.1,91.58,61.67,2.63,1.05
30520054,C57BL/6N,m,mutant,hom (Uggt2),25.2,93.44,64.64,2.45,0.84
30520060,C57BL/6N,m,control,wt (Zfp280d),26.5,87.4,55.59,2.67,1.25
30520069,C57BL/6N,m,control,wt (Uggt2),24.3,85.53,52.98,2.56,1.29
30520074,C57BL/6N,m,control,wt (Uggt2),29.9,89.75,58.98,2.78,1.14
30520076,C57BL/6N,m,mutant,hom (Uggt2),26.5,93.55,64.93,2.42,0.89
30520094,C57BL/6N,m,mutant,hom (Uggt2),26.3,93.17,64.4,2.62,0.95
30520095,C57BL/6N,m,mutant,hom (Uggt2),26.2,95.06,67.92,2.29,0.74
30520108,C57BL/6N,f,control,wt (Zfp280d),24.1,78.88,46.48,3.62,1.82
30520113,C57BL/6N,m,control,wt (Uggt2),26.9,69.77,38.52,3.71,2.25
30520114,C57BL/6N,m,mutant,hom (Uggt2),27.3,89.08,57.97,2.75,1.14
30520116,C57BL/6N,f,mutant,hom (Uggt2),20.9,92.43,62.53,2.3,0.88
30520118,C57BL/6N,f,control,wt (Uggt2),22.1,83.12,50.37,3.03,1.44
30520127,C57BL/6N,f,mutant,hom (Uggt2),19.9,88.62,56.57,2.32,1.03
30520129,C57BL/6N,f,control,wt (Uggt2),19.3,91.72,61.5,2.29,0.97
30520204,C57BL/6N,f,control,wt (Zfp280d),22.3,88.86,59.39,2.92,1.29
