mouse_id,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual
30513126,C57BL/6N,m,control,wt (Arvcf),34,91.66,61.89,2.85,1.06
30513134,C57BL/6N,f,control,wt (Arvcf),22.1,84.07,51.08,2.54,1.28
30513135,C57BL/6N,f,control,wt (Arvcf),22,82.07,48.98,2.77,1.36
30513138,C57BL/6N,m,control,wt (Arvcf),24,82.07,49.01,2.64,1.39
30513152,C57BL/6N,f,control,wt (Arvcf),23.9,91.15,60.42,2.32,0.92
30513178,C57BL/6N,m,control,wt (Arvcf),30.1,89.84,58.97,2.83,1.2
30513191,C57BL/6N,m,control,wt (Arvcf),24.1,88.52,56.64,2.43,1.11
30513194,C57BL/6N,f,control,wt (Arvcf),22.1,82.69,49.73,2.75,1.39
30513215,C57BL/6N,m,control,wt (Arvcf),27.8,91.36,61.05,2.51,1.0
30513298,C57BL/6N,f,control,wt (Arvcf),22.6,94.74,67.5,2.48,0.77
30513371,C57BL/6N,m,control,wt (Zfp280d),29.5,76.99,44.64,3.49,1.9
30513372,C57BL/6N,f,control,wt (Zfp280d),20.3,97.06,73.92,2.14,0.59
30513377,C57BL/6N,f,mutant,hom (Zfp280d),25.4,78.89,46.18,3.17,1.73
30513381,C57BL/6N,m,mutant,hom (Zfp280d),22.7,72.69,40.47,2.94,1.83
30513382,C57BL/6N,m,mutant,hom (Zfp280d),23.8,46.93,23.13,3.92,3.05
30513383,C57BL/6N,m,control,wt (Zfp280d),29.6,87.08,55.36,2.71,1.3
30513539,C57BL/6N,f,control,wt (Arvcf),24.8,93.15,64.31,2.53,0.89
30513558,C57BL/6N,m,control,wt (Pcdhgb2),21.8,90.96,61.95,2.54,1.05
30513559,C57BL/6N,m,control,wt (Pcdhgb2),21.8,88.72,57.0,2.54,1.12
30513576,C57BL/6N,f,control,wt (Pcdhgb2),21.4,90.66,59.99,2.76,1.1
30513577,C57BL/6N,f,control,wt (Pcdhgb2),22.1,90.83,61.08,3.15,1.13
30520000,C57BL/6N,m,mutant,hom (Zfp280d),26.8,58.75,30.15,3.18,2.36
30520002,C57BL/6N,m,mutant,hom (Zfp280d),24.8,64.92,34.56,3.38,2.06
30520003,C57BL/6N,f,mutant,hom (Zfp280d),21.4,78.97,46.5,3.27,1.8
30520010,C57BL/6N,f,mutant,hom (Zfp280d),21.5,65.53,35.0,3.26,2.01
30520011,C57BL/6N,f,control,wt (Zfp280d),22.8,89.63,58.18,2.36,1.08
30520012,C57BL/6N,f,mutant,hom (Zfp280d),22.9,73.51,41.14,2.88,1.77
30520033,C57BL/6N,m,mutant,hom (Zfp280d),23.5,63.76,33.57,3.1,2.13
30520034,C57BL/6N,m,control,wt (Zfp280d),29.4,86.88,55.6,2.97,1.46
30520035,C57BL/6N,m,control,wt (Zfp280d),27.9,79.19,45.83,2.53,1.43
30520039,C57BL/6N,m,control,wt (Zfp280d),27.3,92.38,62.88,2.48,0.94
30520043,C57BL/6N,m,mutant,hom (Zfp280d),21.4,64.94,34.41,3.16,2.07
30520046,C57BL/6N,f,mutant,hom (Zfp280d),21,83.91,50.88,2.58,1.25
30520048,C57BL/6N,f,control,wt (Zfp280d),21.8,88.4,56.9,2.73,1.24
30520051,C57BL/6N,m,control,wt (Uggt2),23.6,93.34,64.04,2.17,0.81
30520060,C57BL/6N,m,control,wt (Zfp280d),26.5,87.4,55.59,2.67,1.25
30520062,C57BL/6N,m,mutant,hom (Zfp280d),22.5,36.25,17.39,4.35,3.58
30520064,C57BL/6N,m,mutant,hom (Zfp280d),22.8,41.78,20.35,4.36,3.55
30520069,C57BL/6N,m,control,wt (Uggt2),24.3,85.53,52.98,2.56,1.29
30520074,C57BL/6N,m,control,wt (Uggt2),29.9,89.75,58.98,2.78,1.14
30520086,C57BL/6N,m,mutant,hom (Zfp280d),23.9,61.36,32.12,3.26,2.25
30520087,C57BL/6N,m,mutant,hom (Zfp280d),27.6,53.19,26.92,3.81,2.88
30520106,C57BL/6N,f,mutant,hom (Zfp280d),18.8,85.63,53.17,2.75,1.33
30520107,C57BL/6N,f,mutant,hom (Zfp280d),19.9,69.0,37.53,3.16,2.0
30520108,C57BL/6N,f,control,wt (Zfp280d),24.1,78.88,46.48,3.62,1.82
30520113,C57BL/6N,m,control,wt (Uggt2),26.9,69.77,38.52,3.71,2.25
30520118,C57BL/6N,f,control,wt (Uggt2),22.1,83.12,50.37,3.03,1.44
30520129,C57BL/6N,f,control,wt (Uggt2),19.3,91.72,61.5,2.29,0.97
30520204,C57BL/6N,f,control,wt (Zfp280d),22.3,88.86,59.39,2.92,1.29
30520206,C57BL/6N,f,mutant,hom (Zfp280d),23.1,81.78,48.79,2.72,1.44
